Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-06-22,86.1407,86.8036,85.7401,86.2799,778715.12124248
2021-06-23,86.0015,87.17,86.0015,86.2629,381957.83186131
2021-06-24,86.5071,89.9757,86.35,89.5806,1570530.6349901
2021-06-25,89.8051,91.0266,88.1022,89.5446,792469.08593874
2021-06-28,89.5446,89.8051,88.1022,89.5806,494062.7205044
2021-06-29,89.1486,89.2357,85.8964,86.402,1392296.9334914
2021-06-30,86.2107,86.2629,80.6476,81.0842,2197359.8099814
2021-07-01,81.1363,82.7925,80.5785,82.2347,1189347.7371067
2021-07-02,82.3919,83.5423,81.712,82.1646,607177.47282266
2021-07-05,82.1646,83.1068,82.0433,82.3739,184188.22292632
2021-07-06,82.3919,82.9496,79.6714,79.7415,584904.80142429
2021-07-07,79.7585,81.8512,79.7585,81.4676,707200.73992287
2021-07-08,81.0842,81.0842,79.0265,79.4271,805273.31114776
2021-07-09,79.3579,80.6306,78.9735,80.4384,405606.67911693
2021-07-12,80.5605,80.5605,77.6138,79.0085,574913.05211771
2021-07-13,79.0085,80.7878,79.0085,79.3399,640221.28114904
2021-07-14,79.3399,81.1713,79.1828,80.3692,414012.93131937
2021-07-15,80.2992,81.1363,78.9565,79.3579,595786.16603019
2021-07-16,80.0549,81.5548,79.6893,81.0842,524326.34184408
2021-07-19,81.0492,81.0662,78.1024,78.4158,469532.05182569
2021-07-20,78.4158,79.5142,77.3695,78.5729,358557.27523366
2021-07-21,78.643,81.9033,78.643,81.2405,603568.9081355
2021-07-22,81.2585,82.0605,79.6014,79.7065,372131.980777
2021-07-23,79.6543,80.5435,79.6543,80.1069,254012.44651833
2021-07-26,80.6476,80.6476,79.0085,80.1249,481505.67251245
2021-07-27,79.9508,80.962,79.1658,79.4972,379967.05319403
2021-07-28,79.4801,82.1996,79.4801,81.3806,425537.84741838
2021-07-29,81.6249,82.7925,81.5027,82.1646,447799.38470787
2021-07-30,81.8512,82.7233,80.9441,82.0605,349333.77943961
2021-08-02,82.7403,83.9609,82.6012,83.7696,327504.24557456
2021-08-03,83.6996,83.8738,82.2176,82.9146,371256.83981923
2021-08-04,84.1352,86.6113,83.9789,86.315,1054024.8912215
2021-08-05,86.315,86.8386,85.4429,85.9664,348259.33793294
2021-08-06,85.9664,87.5795,85.7051,86.6984,567924.17197536
2021-08-09,86.5071,89.4548,86.5071,89.3228,780923.01503287
